hhid14_9,age,marstat,sex,pidlink,dl01f,dl06,sw00,sw01,sw03,tk01a,tr11,kk01,kr03,female,fo01
313410003,37,2,1,313410006,E,2,2,3,4,1,2,3,1,0,1
314010000,52,2,1,314010001,E,1,3,3,2,1,2,3,1,0,-1
314010000,49,2,3,314010002,E,1,2,3,4,1,3,2,1,1,1
314014100,29,5,1,314010003,E,1,4,3,3,1,3,3,1,0,0
314010000,26,1,3,314010004,E,2,3,3,4,1,2,2,1,1,1
314020000,71,1,3,314020001,E,1,4,1,1,1,3,1,1,1,0
314020000,48,1,3,314020002,E,1,4,3,1,1,3,4,1,1,-2
314040000,60,2,1,314040001,,NA,NA,NA,NA,0,NA,2,1,0,NA
314040000,53,2,3,314040002,E,1,3,2,2,1,2,3,1,1,0
314040003,36,2,1,314040003,E,1,3,3,4,1,3,4,0,0,1
314040000,29,1,3,314040004,E,2,3,2,2,1,3,3,1,1,0
314040003,30,2,3,314040005,E,1,4,3,5,1,4,3,0,1,2
314050001,62,2,1,314050001,E,NA,2,3,3,1,4,2,0,0,0
314050001,59,2,3,314050002,E,1,4,1,4,1,4,3,0,1,3
314050003,41,2,1,314050003,E,2,3,2,3,1,4,4,1,0,1
314053100,42,2,1,314050004,E,1,3,3,3,1,3,3,0,0,0
314050003,41,2,3,314050007,E,1,2,2,3,1,3,2,1,1,1
314050003,19,1,3,314050008,E,4,3,3,5,0,2,3,1,1,2
314050000,43,2,1,314050009,E,3,3,3,4,1,3,3,0,0,1
314050000,35,2,3,314050010,E,2,3,3,4,1,3,3,0,1,1
314050000,17,1,3,314050011,E,3,3,4,5,0,3,3,0,1,1
314053100,31,2,3,314053102,E,1,3,3,6,0,2,2,0,1,3
314053100,16,1,1,314053103,E,3,3,3,6,0,2,4,0,0,3
314080000,51,1,3,314080003,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
314080000,36,2,1,314080004,H,1,2,2,2,1,4,2,1,0,0
314080000,32,2,3,314080005,E,1,4,2,2,1,3,3,1,1,0
314080000,18,1,1,314080006,E,3,3,2,4,0,3,3,1,0,2
314090000,57,2,1,314090001,E,1,4,4,5,1,3,4,1,0,1
314090000,57,2,3,314090002,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
314090003,35,2,1,314090003,E,1,3,1,2,1,3,2,1,0,1
314090004,31,2,3,314090004,E,1,3,3,4,1,3,3,0,1,1
314094100,29,2,3,314090005,E,1,2,3,4,1,3,2,1,1,1
314094100,33,2,1,314094101,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
314090003,32,2,3,314095102,E,3,2,3,4,1,3,3,1,1,1
314090004,36,2,1,314095201,E,1,3,3,4,1,3,2,0,0,1
314100000,49,2,1,314100001,E,3,4,4,5,1,3,3,1,0,1
314100000,44,2,3,314100002,E,NA,4,4,4,1,3,3,1,1,0
314100000,24,2,1,314100003,E,3,3,3,5,1,2,3,1,0,2
314100000,15,1,3,314100005,E,3,4,3,5,0,3,3,1,1,2
314100000,19,2,3,314100007,E,4,4,3,5,0,3,3,1,1,2
314130000,76,2,1,314130001,,1,NA,NA,NA,1,NA,3,1,0,NA
314130000,73,2,3,314130002,,NA,NA,NA,NA,1,NA,3,1,1,NA
314130000,32,2,3,314130004,E,1,3,3,3,1,3,3,1,1,0
314130000,36,2,1,314130006,E,1,4,3,3,1,3,2,1,0,0
314143100,32,2,3,314140002,E,NA,3,4,2,1,4,1,0,1,-2
314140000,48,2,3,314140003,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
314140000,49,2,1,314140004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
314140000,24,4,3,314140005,E,1,4,2,NA,1,4,2,NA,1,NA
314140000,20,4,1,314140006,E,1,1,1,1,1,2,2,NA,0,0
314143100,41,2,1,314143107,E,1,2,1,1,1,4,1,0,0,0
314160000,55,2,1,314160001,E,1,3,3,3,1,3,3,1,0,0
314160000,53,2,3,314160002,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
